Año,Mes,Casos
2015,Enero,749
2015,Febrero,775
2015,Marzo,927
2015,Abril,937
2015,Mayo,1034
2015,Junio,1073
2015,Julio,1056
2015,Agosto,1103
2015,Septiembre,1045
2015,Octubre,1205
2015,Noviembre,1093
2015,Diciembre,895
2016,Enero,941
2016,Febrero,1037
2016,Marzo,1146
2016,Abril,1353
2016,Mayo,1486
2016,Junio,1385
2016,Julio,1304
2016,Agosto,1219
2016,Septiembre,1265
2016,Octubre,1311
2016,Noviembre,1175
2016,Diciembre,1168
2017,Enero,1052
2017,Febrero,1133
2017,Marzo,1364
2017,Abril,1315
2017,Mayo,1550
2017,Junio,1537
2017,Julio,1355
2017,Agosto,1321
2017,Septiembre,1348
2017,Octubre,1429
2017,Noviembre,1325
2017,Diciembre,953
2018,Enero,1083
2018,Febrero,1286
2018,Marzo,1563
2018,Abril,1584
2018,Mayo,1745
2018,Junio,1690
2018,Julio,1588
2018,Agosto,1716
2018,Septiembre,1679
2018,Octubre,1819
2018,Noviembre,1612
2018,Diciembre,1332
2019,Enero,1576
2019,Febrero,1956
2019,Marzo,2022
2019,Abril,1950
2019,Mayo,2243
2019,Junio,2142
2019,Julio,1883
2019,Agosto,2071
2019,Septiembre,1984
2019,Octubre,2134
2019,Noviembre,1840
2019,Diciembre,1653
2020,Enero,1770
2020,Febrero,2231
2020,Marzo,2535
2020,Abril,1337
2020,Mayo,1419
2020,Junio,1691
2020,Julio,1772
2020,Agosto,1924
2020,Septiembre,2061
2020,Octubre,2024
2020,Noviembre,1893
2020,Diciembre,1683
2021,Enero,1700
2021,Febrero,1910
2021,Marzo,2833
2021,Abril,2430
2021,Mayo,2496
2021,Junio,2487
2021,Julio,2421
2021,Agosto,2414
2021,Septiembre,2224
2021,Octubre,2456
2021,Noviembre,2116
2021,Diciembre,2131
