Año,Mes,Casos
2015,Enero,429
2015,Febrero,541
2015,Marzo,495
2015,Abril,542
2015,Mayo,521
2015,Junio,520
2015,Julio,524
2015,Agosto,469
2015,Septiembre,469
2015,Octubre,522
2015,Noviembre,453
2015,Diciembre,468
2016,Enero,417
2016,Febrero,454
2016,Marzo,457
2016,Abril,446
2016,Mayo,422
2016,Junio,493
2016,Julio,494
2016,Agosto,491
2016,Septiembre,437
2016,Octubre,548
2016,Noviembre,481
2016,Diciembre,535
2017,Enero,566
2017,Febrero,485
2017,Marzo,507
2017,Abril,464
2017,Mayo,558
2017,Junio,540
2017,Julio,443
2017,Agosto,567
2017,Septiembre,518
2017,Octubre,528
2017,Noviembre,462
2017,Diciembre,445
2018,Enero,472
2018,Febrero,498
2018,Marzo,534
2018,Abril,591
2018,Mayo,531
2018,Junio,568
2018,Julio,539
2018,Agosto,628
2018,Septiembre,556
2018,Octubre,603
2018,Noviembre,614
2018,Diciembre,556
2019,Enero,699
2019,Febrero,756
2019,Marzo,725
2019,Abril,690
2019,Mayo,738
2019,Junio,696
2019,Julio,811
2019,Agosto,830
2019,Septiembre,709
2019,Octubre,813
2019,Noviembre,628
2019,Diciembre,599
2020,Enero,691
2020,Febrero,721
2020,Marzo,700
2020,Abril,624
2020,Mayo,602
2020,Junio,673
2020,Julio,709
2020,Agosto,706
2020,Septiembre,693
2020,Octubre,640
2020,Noviembre,605
2020,Diciembre,583
2021,Enero,552
2021,Febrero,638
2021,Marzo,806
2021,Abril,688
2021,Mayo,698
2021,Junio,749
2021,Julio,766
2021,Agosto,815
2021,Septiembre,768
2021,Octubre,785
2021,Noviembre,786
2021,Diciembre,764
