Año,Mes,Casos
2015,Enero,32
2015,Febrero,29
2015,Marzo,31
2015,Abril,35
2015,Mayo,28
2015,Junio,28
2015,Julio,33
2015,Agosto,38
2015,Septiembre,41
2015,Octubre,46
2015,Noviembre,26
2015,Diciembre,39
2016,Enero,33
2016,Febrero,43
2016,Marzo,66
2016,Abril,53
2016,Mayo,50
2016,Junio,51
2016,Julio,38
2016,Agosto,43
2016,Septiembre,49
2016,Octubre,46
2016,Noviembre,54
2016,Diciembre,46
2017,Enero,48
2017,Febrero,62
2017,Marzo,57
2017,Abril,61
2017,Mayo,68
2017,Junio,72
2017,Julio,68
2017,Agosto,63
2017,Septiembre,54
2017,Octubre,58
2017,Noviembre,57
2017,Diciembre,54
2018,Enero,67
2018,Febrero,66
2018,Marzo,68
2018,Abril,78
2018,Mayo,63
2018,Junio,76
2018,Julio,84
2018,Agosto,65
2018,Septiembre,76
2018,Octubre,85
2018,Noviembre,68
2018,Diciembre,99
2019,Enero,69
2019,Febrero,67
2019,Marzo,77
2019,Abril,66
2019,Mayo,77
2019,Junio,78
2019,Julio,87
2019,Agosto,93
2019,Septiembre,89
2019,Octubre,71
2019,Noviembre,80
2019,Diciembre,92
2020,Enero,74
2020,Febrero,91
2020,Marzo,76
2020,Abril,71
2020,Mayo,70
2020,Junio,92
2020,Julio,74
2020,Agosto,74
2020,Septiembre,79
2020,Octubre,78
2020,Noviembre,85
2020,Diciembre,84
2021,Enero,76
2021,Febrero,75
2021,Marzo,98
2021,Abril,80
2021,Mayo,102
2021,Junio,83
2021,Julio,69
2021,Agosto,108
2021,Septiembre,63
2021,Octubre,67
2021,Noviembre,69
2021,Diciembre,76
