Año,Mes,Casos
2015,Enero,2547
2015,Febrero,2493
2015,Marzo,2509
2015,Abril,2563
2015,Mayo,2723
2015,Junio,2480
2015,Julio,2590
2015,Agosto,2759
2015,Septiembre,2553
2015,Octubre,2638
2015,Noviembre,2609
2015,Diciembre,2707
2016,Enero,2595
2016,Febrero,2610
2016,Marzo,2755
2016,Abril,2635
2016,Mayo,3020
2016,Junio,2775
2016,Julio,2998
2016,Agosto,3129
2016,Septiembre,3007
2016,Octubre,3005
2016,Noviembre,2960
2016,Diciembre,3187
2017,Enero,3284
2017,Febrero,3003
2017,Marzo,3340
2017,Abril,3406
2017,Mayo,3504
2017,Junio,3415
2017,Julio,3268
2017,Agosto,3345
2017,Septiembre,3310
2017,Octubre,3615
2017,Noviembre,3501
2017,Diciembre,3668
2018,Enero,3416
2018,Febrero,3295
2018,Marzo,3820
2018,Abril,3703
2018,Mayo,3933
2018,Junio,3580
2018,Julio,3866
2018,Agosto,3728
2018,Septiembre,3821
2018,Octubre,3679
2018,Noviembre,3642
2018,Diciembre,3941
2019,Enero,3696
2019,Febrero,3587
2019,Marzo,3798
2019,Abril,3661
2019,Mayo,3914
2019,Junio,3773
2019,Julio,3757
2019,Agosto,3687
2019,Septiembre,3683
2019,Octubre,3682
2019,Noviembre,3692
2019,Diciembre,3824
2020,Enero,3574
2020,Febrero,3463
2020,Marzo,3996
2020,Abril,3581
2020,Mayo,3419
2020,Junio,3451
2020,Julio,3587
2020,Agosto,3774
2020,Septiembre,3450
2020,Octubre,3696
2020,Noviembre,3605
2020,Diciembre,3608
2021,Enero,3622
2021,Febrero,3405
2021,Marzo,3843
2021,Abril,3799
2021,Mayo,4021
2021,Junio,3420
2021,Julio,3672
2021,Agosto,3603
2021,Septiembre,3538
2021,Octubre,3693
2021,Noviembre,3426
2021,Diciembre,3773
