Año,Mes,Casos
2015,Enero,2470
2015,Febrero,2530
2015,Marzo,2753
2015,Abril,3029
2015,Mayo,3062
2015,Junio,2979
2015,Julio,2740
2015,Agosto,2405
2015,Septiembre,2187
2015,Octubre,2972
2015,Noviembre,2357
2015,Diciembre,2898
2016,Enero,2926
2016,Febrero,2937
2016,Marzo,3037
2016,Abril,2522
2016,Mayo,2544
2016,Junio,1791
2016,Julio,2098
2016,Agosto,2068
2016,Septiembre,2027
2016,Octubre,2439
2016,Noviembre,2626
2016,Diciembre,2846
2017,Enero,3453
2017,Febrero,3592
2017,Marzo,3902
2017,Abril,3521
2017,Mayo,3396
2017,Junio,3541
2017,Julio,4003
2017,Agosto,4336
2017,Septiembre,3692
2017,Octubre,3984
2017,Noviembre,3718
2017,Diciembre,3870
2018,Enero,4864
2018,Febrero,4763
2018,Marzo,5104
2018,Abril,4735
2018,Mayo,4992
2018,Junio,4450
2018,Julio,4255
2018,Agosto,5135
2018,Septiembre,4866
2018,Octubre,5560
2018,Noviembre,5182
2018,Diciembre,4604
2019,Enero,5664
2019,Febrero,5476
2019,Marzo,5642
2019,Abril,5297
2019,Mayo,5948
2019,Junio,5795
2019,Julio,6360
2019,Agosto,6528
2019,Septiembre,5938
2019,Octubre,6398
2019,Noviembre,5667
2019,Diciembre,5528
2020,Enero,7116
2020,Febrero,6610
2020,Marzo,6812
2020,Abril,5539
2020,Mayo,5732
2020,Junio,6107
2020,Julio,6654
2020,Agosto,6673
2020,Septiembre,6272
2020,Octubre,6384
2020,Noviembre,6137
2020,Diciembre,6689
2021,Enero,7385
2021,Febrero,7094
2021,Marzo,7591
2021,Abril,6828
2021,Mayo,6624
2021,Junio,6835
2021,Julio,6216
2021,Agosto,7061
2021,Septiembre,6898
2021,Octubre,6733
2021,Noviembre,6713
2021,Diciembre,6222
