Año,Mes,Casos
2015,Enero,55164
2015,Febrero,52668
2015,Marzo,56375
2015,Abril,52892
2015,Mayo,53948
2015,Junio,54133
2015,Julio,54344
2015,Agosto,54575
2015,Septiembre,55681
2015,Octubre,56090
2015,Noviembre,54028
2015,Diciembre,52261
2016,Enero,50645
2016,Febrero,52572
2016,Marzo,56008
2016,Abril,55335
2016,Mayo,55761
2016,Junio,56679
2016,Julio,56327
2016,Agosto,59275
2016,Septiembre,58974
2016,Octubre,61565
2016,Noviembre,60371
2016,Diciembre,60618
2017,Enero,65013
2017,Febrero,58366
2017,Marzo,66547
2017,Abril,60946
2017,Mayo,66240
2017,Junio,66977
2017,Julio,66958
2017,Agosto,70927
2017,Septiembre,66739
2017,Octubre,72654
2017,Noviembre,68728
2017,Diciembre,64785
2018,Enero,69175
2018,Febrero,64399
2018,Marzo,67777
2018,Abril,67117
2018,Mayo,68916
2018,Junio,65530
2018,Julio,67804
2018,Agosto,70225
2018,Septiembre,64759
2018,Octubre,71094
2018,Noviembre,66735
2018,Diciembre,64681
2019,Enero,68501
2019,Febrero,62616
2019,Marzo,66494
2019,Abril,63929
2019,Mayo,66391
2019,Junio,62358
2019,Julio,65548
2019,Agosto,64797
2019,Septiembre,60631
2019,Octubre,65175
2019,Noviembre,60973
2019,Diciembre,57905
2020,Enero,61743
2020,Febrero,57149
2020,Marzo,56471
2020,Abril,41253
2020,Mayo,41633
2020,Junio,45570
2020,Julio,49778
2020,Agosto,49454
2020,Septiembre,50083
2020,Octubre,52871
2020,Noviembre,49263
2020,Diciembre,48638
2021,Enero,46722
2021,Febrero,45248
2021,Marzo,52075
2021,Abril,49066
2021,Mayo,49959
2021,Junio,51422
2021,Julio,51937
2021,Agosto,51600
2021,Septiembre,51703
2021,Octubre,53555
2021,Noviembre,53054
2021,Diciembre,52146
